"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"ta_we_intro","time_activity_supplement","A Typical Weekend Day","descriptive","<p>Now think about a <strong>typical Saturday or Sunday</strong>. Again, please estimate hours in each place, including sleeping, adding up to about 24 hours.</p>","","","","","","","","","","","","",""
"ta_we_home_indoor","time_activity_supplement","","text","Hours INDOORS at home","","Include sleeping.","number","0","24","","","y","","","","","@DEFAULT=''0''"
"ta_we_home_outdoor","time_activity_supplement","","text","Hours OUTDOORS at or near home","","","number","0","24","","","y","","","","","@DEFAULT=''0''"
"ta_we_other_indoor","time_activity_supplement","","text","Hours INDOORS somewhere else","","","number","0","24","","","","","","","","@DEFAULT=''0''"
"ta_we_other_outdoor","time_activity_supplement","","text","Hours OUTDOORS somewhere else","","","number","0","24","","","","","","","","@DEFAULT=''0''"
"ta_we_transit","time_activity_supplement","","text","Hours in a car, bus, or other vehicle","","30 minutes = 0.5","number","0","12","","","","","","","","@DEFAULT=''0''"
"ta_we_total","time_activity_supplement","","calc","Weekend total (hours)","sum([ta_we_home_indoor],[ta_we_home_outdoor],[ta_we_other_indoor],[ta_we_other_outdoor],[ta_we_transit])","","","","","","","","","","","",""
"ta_we_warn","time_activity_supplement","","descriptive","<p style=''color:#b00020''><strong>Your weekend hours do not add up to 24.</strong> Please adjust your answers above so the total is close to 24 hours.</p>","","","","","","","[ta_we_total] > 0 and ([ta_we_total] < 23 or [ta_we_total] > 25)","","","","","",""
"ta_out_time","time_activity_supplement","Outdoor Activity","checkbox","During which times of day is your child usually outdoors? Check all that apply.","1, Early morning (before 10 AM) | 2, Midday (10 AM to 2 PM) | 3, Afternoon (2 PM to 6 PM) | 4, Evening (after 6 PM) | 5, Rarely outdoors","","","","","","","y","","","","","@NONEOFTHEABOVE=''5''"
"ta_sports","time_activity_supplement","","yesno","Does your child take part in organized outdoor sports or activities?","","Soccer, baseball, track, marching band, and similar.","","","","","","","","","","",""
"ta_sports_hrs","time_activity_supplement","","text","About how many hours per week?","","","number","0","30","","[ta_sports] = ''1''","","","","","","@DEFAULT=''0''"
"ta_sports_time","time_activity_supplement","","radio","When do these usually take place?","1, Morning | 2, Midday | 3, Afternoon (2 PM to 6 PM) | 4, Evening (after 6 PM) | 5, Varies","","","","","","[ta_sports] = ''1''","","","","","",""
"ta_school_mode","time_activity_supplement","Getting Around","radio","How does your child usually travel to school or childcare?","1, Family car | 2, School bus | 3, City bus | 4, Walking | 5, Bicycle | 6, Mix of ways | 7, Not applicable","","","","","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_vehicle_window","time_activity_supplement","","radio","When riding in a vehicle, are the windows usually open or closed?","1, Usually closed with air conditioning | 2, Usually open | 3, It varies","","","","","","","","","","","",""
"ta_ac_type","time_activity_supplement","Your Home Environment","radio","What kind of cooling does your primary home have?","1, Central air conditioning | 2, Window or wall units | 3, Evaporative or swamp cooler | 4, No air conditioning | 5, Not sure","","","","","","","y","","","","",""
"ta_ac_use","time_activity_supplement","","radio","How often is the cooling running during warm months?","1, Nearly all the time | 2, Most of the time | 3, Sometimes | 4, Rarely or never","","","","","","[ta_ac_type] <> ''4''","","","","","",""
"ta_windows","time_activity_supplement","","radio","How often are windows open in your home?","1, Rarely or never | 2, A few hours a week | 3, A few hours on most days | 4, Open most of the day","This helps us understand how much outdoor air comes inside.","","","","","","y","","","","",""
"ta_stove_fuel","time_activity_supplement","","radio","What does your kitchen stove or range use?","1, Natural gas or propane | 2, Electric | 3, Both | 4, Not sure","","","","","","","","","","","",""
"ta_stove_freq","time_activity_supplement","","radio","How often is the stove or oven used for cooking?","1, Two or more times a day | 2, About once a day | 3, Several times a week | 4, Once a week or less","","","","","","[ta_stove_fuel] = ''1'' or [ta_stove_fuel] = ''3''","","","","","",""
"ta_hood","time_activity_supplement","","radio","When cooking, how often is a range hood or exhaust fan used?","1, Always | 2, Usually | 3, Sometimes | 4, Rarely or never | 5, No hood or fan","","","","","","[ta_stove_fuel] = ''1'' or [ta_stove_fuel] = ''3''","","","","","",""
"ta_smoke_indoor","time_activity_supplement","","radio","Does anyone smoke inside your home?","1, No | 2, Yes, sometimes | 3, Yes, daily","","","","","","","","","","","",""
"ta_vape_indoor","time_activity_supplement","","radio","Does anyone use e-cigarettes or vape inside your home?","1, No | 2, Yes, sometimes | 3, Yes, daily","","","","","","","","","","","",""
"ta_smoke_vehicle","time_activity_supplement","","radio","Does anyone smoke or vape in a vehicle your child rides in?","1, No | 2, Yes, sometimes | 3, Yes, daily","","","","","","","","","","","",""
"ta_purifier","time_activity_supplement","","yesno","Do you use an air purifier or air cleaner in your home?","","","","","","","","","","","","",""
"ta_purifier_room","time_activity_supplement","","radio","Where is it used?","1, Child's bedroom | 2, Living area | 3, Both or several rooms","","","","","","[ta_purifier] = ''1''","","","","","",""
"ta_hvac_filter","time_activity_supplement","","radio","How often is the air conditioning filter changed?","1, Every 3 months or sooner | 2, Every 3 to 6 months | 3, Less than twice a year | 4, Never or not sure","","","","","","[ta_ac_type] = ''1''","","","","","",""
"ta_damp","time_activity_supplement","","radio","Has your home had visible mold, dampness, or water damage?","1, No | 2, Yes, in the past 12 months | 3, Yes, currently","","","","","","","","","","","",""
"ta_candles","time_activity_supplement","","radio","How often are candles or incense burned in your home?","1, Rarely or never | 2, About weekly | 3, Several times a week | 4, Daily","","","","","","","","","","","",""
"ta_road","time_activity_supplement","","radio","How close is your home to a major road or highway?","1, Very close (within about a block) | 2, One to three blocks | 3, Three to ten blocks | 4, More than ten blocks | 5, Not sure","","","","","","","","","","","",""
"ta_industry","time_activity_supplement","","radio","How close is your home to an industrial facility, refinery, or port?","1, Very close (within about a block) | 2, One to three blocks | 3, Three to ten blocks | 4, More than ten blocks | 5, Not sure","","","","","","","","","","","",""
"ta_sec_intro","time_activity_supplement","The Other Home","descriptive","<p>A few quick questions about the other home where your child regularly stays.</p>","","","","","","","[ta_multi_residence] = ''1''","","","","","",""
"ta_sec_ac","time_activity_supplement","","radio","What kind of cooling does the other home have?","1, Central air conditioning | 2, Window or wall units | 3, Evaporative or swamp cooler | 4, No air conditioning | 5, Not sure","","","","","","[ta_multi_residence] = ''1''","","","","","",""
"ta_sec_windows","time_activity_supplement","","radio","How often are windows open in the other home?","1, Rarely or never | 2, A few hours a week | 3, A few hours on most days | 4, Open most of the day | 5, Not sure","","","","","","[ta_multi_residence] = ''1''","","","","","",""
"ta_sec_stove","time_activity_supplement","","radio","What does the stove use in the other home?","1, Natural gas or propane | 2, Electric | 3, Both | 4, Not sure","","","","","","[ta_multi_residence] = ''1''","","","","","",""
"ta_sec_smoke","time_activity_supplement","","radio","Does anyone smoke or vape inside the other home?","1, No | 2, Yes, sometimes | 3, Yes, daily | 4, Not sure","","","","","","[ta_multi_residence] = ''1''","","","","","",""
"ta_aqi_check","time_activity_supplement","Air Quality Awareness","radio","How often do you check air quality reports or alerts?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Daily","","","","","","","","","","","",""
"ta_aqi_action","time_activity_supplement","","yesno","Do you keep your child indoors when air quality is poor?","","","","","","","[ta_aqi_check] >= ''3''","","","","","",""
"ta_notes","time_activity_supplement","","notes","Is there anything else about your child's schedule or home that we should know?","","Optional.","","","","","","","","","","","@CHARLIMIT(500)"
"ta_frac_outdoor","time_activity_supplement","Derived Values","calc","Weekly fraction of time outdoors","round((([ta_wd_home_outdoor]+[ta_wd_school_outdoor]+[ta_wd_other_outdoor])*5+([ta_we_home_outdoor]+[ta_we_other_outdoor])*2)/168,4)","","","","","","","","","","","","@HIDDEN-SURVEY @READONLY"
"ta_frac_home_indoor","time_activity_supplement","","calc","Weekly fraction of time indoors at home","round((([ta_wd_home_indoor])*5+([ta_we_home_indoor])*2)/168,4)","","","","","","","","","","","","@HIDDEN-SURVEY @READONLY"
"ta_frac_school_indoor","time_activity_supplement","","calc","Weekly fraction of time indoors at school","round((([ta_wd_school_indoor])*5)/168,4)","","","","","","","","","","","","@HIDDEN-SURVEY @READONLY"
"ta_frac_other_indoor","time_activity_supplement","","calc","Weekly fraction of time indoors elsewhere","round((([ta_wd_other_indoor])*5+([ta_we_other_indoor])*2)/168,4)","","","","","","","","","","","","@HIDDEN-SURVEY @READONLY"
"ta_frac_transit","time_activity_supplement","","calc","Weekly fraction of time in transit","round((([ta_wd_transit])*5+([ta_we_transit])*2)/168,4)","","","","","","","","","","","","@HIDDEN-SURVEY @READONLY"
"ta_budget_flag","time_activity_supplement","","calc","QC flag - budget out of range","if(([ta_wd_total]<23 or [ta_wd_total]>25 or [ta_we_total]<23 or [ta_we_total]>25),1,0)","","","","","","","","","","","","@HIDDEN-SURVEY @READONLY"
